Wing_short
T5-a0.0°-35.0m/s-VLM2-x0.0675m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0            8      0.58186     0.022929    0.0078414     0.015087  -0.00069717     -0.19533   6.3983e-05     -0.19539    0.0031952   0.00042295   1.6772e-05   0.00040617       25.377       19.357        1.311       229.89       9.0392       5.9608     -0.27544       229.89    -0.032282      -0.2297       229.68            0            0            0       34.973      0.90097           35       2.2566       2.5162      -20.503      0.33307      0.15665     0.010926     0.011617       51.177       88.385       317.06      0.94674      0.09115            0            0            0            0            0            0            0            0            0           10       0.0675            0  
          0            0          8.5      0.58039     0.022887    0.0078451     0.015042  -0.00073949     -0.19484   6.3961e-05      -0.1949    0.0033892    0.0004489   1.8069e-05   0.00043083       25.359       19.319       1.3126       229.31       9.0204        5.943     -0.29217       229.31    -0.036413     -0.24365       229.11            0            0            0       34.973      0.90275           35       2.2582        2.669      -20.452      0.35351      0.15666     0.011619     0.011619       51.104        88.56       316.49      0.94479     0.090924            0            0            0            0            0            0            0            0            0           10       0.0675            0  
          0            0            9      0.57883     0.022843    0.0078491     0.014994  -0.00078159     -0.19432   6.3936e-05     -0.19439    0.0035822   0.00047471   1.9351e-05   0.00045536       25.339       19.278       1.3144       228.69       9.0005       5.9241      -0.3088       228.69    -0.040787     -0.25752       228.52            0            0            0       34.973      0.90466           35         2.26       2.8209      -20.398      0.37383      0.15667     0.012313      0.01162       51.024       88.747       315.88      0.94274     0.090685            0            0            0            0            0            0            0            0            0           10       0.0675            0  
          0            0          9.5      0.57719     0.022797    0.0078536     0.014944  -0.00082345     -0.19378   6.3911e-05     -0.19384     0.003774   0.00050041   2.0654e-05   0.00047975       25.318       19.235       1.3163       228.04       8.9797       5.9041     -0.32534       228.04    -0.045402     -0.27131       227.89            0            0            0       34.973      0.90669           35       2.2618        2.972      -20.341      0.39406      0.15668      0.01301     0.011621       50.937       88.946       315.24      0.94057     0.090432            0            0            0            0            0            0            0            0            0           10       0.0675            0  
          0            0           10      0.57546     0.022749    0.0078586      0.01489  -0.00086507     -0.19321   6.3884e-05     -0.19327    0.0039647   0.00052591   2.1914e-05   0.00050399       25.296       19.189       1.3182       227.36       8.9579       5.8831     -0.34178       227.36    -0.050257     -0.28502       227.22            0            0            0       34.973      0.90885           35       2.2638       3.1222      -20.281      0.41415      0.15669     0.013708     0.011623       50.841       89.158       314.58      0.93828     0.090167            0            0            0            0            0            0            0            0            0           10       0.0675            0  
          0            0         10.5      0.57365     0.022699    0.0078641     0.014835  -0.00090641     -0.19261   6.3857e-05     -0.19267    0.0041542   0.00055125   2.3169e-05   0.00052808       25.272       19.141       1.3203       226.64       8.9352       5.8611     -0.35812       226.64     -0.05535     -0.29864       226.53            0            0            0       34.973      0.91115           35        2.266       3.2714      -20.218      0.43411      0.15669     0.014409     0.011625       50.738       89.383       313.88      0.93589     0.089888            0            0            0            0            0            0            0            0            0           10       0.0675            0  
          0            0           11      0.57175     0.022647    0.0078703     0.014776  -0.00094749     -0.19198    6.383e-05     -0.19204    0.0043425   0.00057647   2.4453e-05   0.00055201       25.247        19.09       1.3225       225.89       8.9117        5.838     -0.37434       225.89    -0.060681     -0.31218        225.8            0            0            0       34.973      0.91358           35       2.2683       3.4197      -20.152      0.45396       0.1567     0.015111     0.011626       50.627       89.622       313.16      0.93338     0.089596            0            0            0            0            0            0            0            0            0           10       0.0675            0  
          0            0         11.5      0.56977     0.022592    0.0078771     0.014715  -0.00098827     -0.19132   6.3802e-05     -0.19139    0.0045294   0.00060147     2.57e-05   0.00057577        25.22       19.037       1.3248       225.11       8.8872       5.8139     -0.39046       225.11    -0.066247     -0.32561       225.04            0            0            0       34.973      0.91615           35       2.2707       3.5669      -20.083      0.47365      0.15671     0.015817     0.011628       50.509       89.874       312.41      0.93077     0.089291            0            0            0            0            0            0            0            0            0           10       0.0675            0  
          0            0           12      0.56771     0.022536    0.0078842     0.014652   -0.0010288     -0.19064   6.3771e-05      -0.1907    0.0047149   0.00062631   2.6949e-05   0.00059936       25.191       18.981       1.3272        224.3       8.8618       5.7888     -0.40645        224.3    -0.072046     -0.33895       224.24            0            0            0       34.972      0.91885           35       2.2732        3.713      -20.011      0.49321      0.15672     0.016524      0.01163       50.383       90.139       311.63      0.92804     0.088974            0            0            0            0            0            0            0            0            0           10       0.0675            0  
          0            0         12.5      0.56556     0.022478    0.0078918     0.014586   -0.0010689     -0.18993    6.374e-05     -0.18999     0.004899   0.00065098   2.8214e-05   0.00062276       25.161       18.922       1.3297       223.45       8.8355       5.7627     -0.42232       223.45    -0.078078     -0.35219       223.42            0            0            0       34.972      0.92168           35        2.276       3.8579      -19.936      0.51264      0.15673     0.017235     0.011632        50.25       90.417       310.83      0.92521     0.088644            0            0            0            0            0            0            0            0            0           10       0.0675            0  
          0            0           13      0.56334     0.022417    0.0078998     0.014517   -0.0011088     -0.18919   6.3707e-05     -0.18925    0.0050816   0.00067538   2.9403e-05   0.00064598        25.13       18.861       1.3323       222.57       8.8083       5.7357     -0.43806       222.57    -0.084339     -0.36531       222.56            0            0            0       34.972      0.92466           35       2.2788       4.0017      -19.859      0.53185      0.15675     0.017948     0.011634       50.109       90.709       309.99      0.92227     0.088301            0            0            0            0            0            0            0            0            0           10       0.0675            0  
          0            0         13.5      0.56103     0.022355    0.0079085     0.014446   -0.0011483     -0.18842   6.3673e-05     -0.18849    0.0052627   0.00069965   3.0658e-05   0.00066899       25.097       18.798       1.3351       221.66       8.7804       5.7076     -0.45367       221.66    -0.090829     -0.37833       221.68            0            0            0       34.972      0.92778           35       2.2818       4.1443      -19.778      0.55097      0.15676     0.018664     0.011636       49.961       91.015       309.13      0.91923     0.087946            0            0            0            0            0            0            0            0            0           10       0.0675            0  
          0            0           14      0.55864      0.02229    0.0079177     0.014373   -0.0011874     -0.18763   6.3638e-05     -0.18769    0.0054422   0.00072362   3.1811e-05    0.0006918       25.062       18.732       1.3379       220.71       8.7516       5.6785     -0.46914       220.71    -0.097545     -0.39123       220.76            0            0            0       34.972      0.93105           35        2.285       4.2856      -19.695      0.56984      0.15677     0.019383     0.011639       49.805       91.336       308.24      0.91608     0.087578            0            0            0            0            0            0            0            0            0           10       0.0675            0  
          0            0         14.5      0.55617     0.022224    0.0079274     0.014297   -0.0012262     -0.18681   6.3601e-05     -0.18688      0.00562   0.00074743   3.3023e-05   0.00071441       25.025       18.663       1.3409       219.74        8.722       5.6485     -0.48447       219.74     -0.10448     -0.40401       219.81            0            0            0       34.972      0.93448           35       2.2883       4.4257      -19.609      0.58859      0.15678     0.020105     0.011641       49.642       91.672       307.32      0.91283     0.087198            0            0            0            0            0            0            0            0            0           10       0.0675            0  
          0            0           15      0.55362     0.022156     0.007938     0.014218   -0.0012646     -0.18597   6.3563e-05     -0.18603    0.0057961     0.000771   3.4208e-05   0.00073679       24.987       18.592        1.344       218.73       8.6917       5.6175     -0.49965       218.73     -0.11165     -0.41667       218.83            0            0            0       34.972      0.93806           35       2.2918       4.5643      -19.521      0.60715       0.1568      0.02083     0.011643       49.471       92.024       306.38      0.90947     0.086806            0            0            0            0            0            0            0            0            0           10       0.0675            0  
