MILVUS_wing
T5-a0.0°-25.0m/s-VLM2-x0.4m-z0.0m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0          5.5      0.61046     0.032662     0.018471      0.01419  -1.5324e-12    -0.040014    0.0083676    -0.048382   -1.001e-05  -2.8178e-05  -2.8832e-05   6.5331e-07       18.691       14.603       1.2799       26.875       1.4379       0.6276   -6.746e-11       26.875   1.8475e-10  -1.9187e-09       26.875            0            0            0       24.964       1.5333           25       3.0626  -0.00044067     -0.20258   -0.0012405      0.45411  -1.6397e-05     0.059005       2.9917       54.151       35.947      0.96132      0.27722            0            0            0            0            0            0            0            0            0          3.6        0.445    0.0023777  
          0            0            6      0.60939     0.032648     0.018495     0.014153  -1.6697e-12    -0.039926    0.0083712    -0.048297  -1.0907e-05  -3.0773e-05  -3.1485e-05   7.1186e-07       18.665       14.571        1.281       26.827       1.4373       0.6265  -7.3507e-11       26.827   2.1974e-10  -2.0907e-09       26.827            0            0            0       24.964       1.5367           25       3.0667  -0.00048017     -0.20213   -0.0013547      0.45411  -1.7898e-05     0.059005       2.9865       54.272       35.932      0.96048      0.27673            0            0            0            0            0            0            0            0            0          3.6        0.445    0.0023777  
          0            0          6.5      0.60823     0.032634     0.018522     0.014113  -1.8066e-12     -0.03983    0.0083751    -0.048205  -1.1801e-05  -3.3376e-05  -3.4146e-05    7.702e-07       18.638       14.535       1.2822       26.776       1.4367      0.62531  -7.9531e-11       26.776   2.5773e-10  -2.2621e-09       26.776            0            0            0       24.964       1.5405           25       3.0712  -0.00051952     -0.20164   -0.0014693      0.45411  -1.9402e-05     0.059005       2.9808       54.404       35.917      0.95956       0.2762            0            0            0            0            0            0            0            0            0          3.6        0.445    0.0023777  
          0            0            7      0.60697     0.032619      0.01855     0.014069  -1.9429e-12    -0.039726    0.0083792    -0.048105  -1.2691e-05  -3.5988e-05  -3.6816e-05   8.2831e-07       18.608       14.497       1.2836       26.721        1.436      0.62401  -8.5531e-11       26.721    2.987e-10  -2.4327e-09       26.721            0            0            0       24.964       1.5445           25       3.0761  -0.00055872     -0.20112   -0.0015843      0.45411  -2.0909e-05     0.059005       2.9746       54.547         35.9      0.95857      0.27563            0            0            0            0            0            0            0            0            0          3.6        0.445    0.0023777  
          0            0          7.5      0.60562     0.032602      0.01858     0.014022  -2.0786e-12    -0.039615    0.0083836    -0.047998  -1.3578e-05   -3.861e-05  -3.9496e-05   8.8616e-07       18.576       14.456        1.285       26.662       1.4353      0.62263  -9.1505e-11       26.662   3.4264e-10  -2.6026e-09       26.662            0            0            0       24.964       1.5489           25       3.0814  -0.00059774     -0.20056   -0.0016997      0.45411  -2.2419e-05     0.059005        2.968       54.701       35.882       0.9575      0.27502            0            0            0            0            0            0            0            0            0          3.6        0.445    0.0023777  
          0            0            8      0.60419     0.032585     0.018613     0.013972  -2.2136e-12    -0.039496    0.0083883    -0.047885   -1.446e-05  -4.1242e-05  -4.2186e-05   9.4375e-07       18.542       14.413       1.2865       26.598       1.4345      0.62115  -9.7451e-11       26.598   3.8955e-10  -2.7718e-09       26.598            0            0            0       24.964       1.5536           25       3.0871  -0.00063658     -0.19996   -0.0018156      0.45411  -2.3933e-05     0.059005        2.961       54.867       35.862      0.95637      0.27437            0            0            0            0            0            0            0            0            0          3.6        0.445    0.0023777  
          0            0          8.5      0.60266     0.032566     0.018647     0.013919   -2.348e-12     -0.03937    0.0083932    -0.047763  -1.5338e-05  -4.3885e-05  -4.4886e-05    1.001e-06       18.506       14.366       1.2881       26.531       1.4337      0.61958  -1.0337e-10       26.531   4.3939e-10    -2.94e-09       26.531            0            0            0       24.964       1.5586           25       3.0931  -0.00067523     -0.19932    -0.001932      0.45411   -2.545e-05     0.059005       2.9535       55.045       35.842      0.95516      0.27368            0            0            0            0            0            0            0            0            0          3.6        0.445    0.0023777  
          0            0            9      0.60104     0.032547     0.018684     0.013863  -2.4817e-12    -0.039237    0.0083983    -0.047635  -1.6211e-05   -4.654e-05  -4.7598e-05    1.058e-06       18.467       14.317       1.2899        26.46       1.4328      0.61792  -1.0925e-10        26.46   4.9217e-10  -3.1074e-09        26.46            0            0            0       24.963        1.564           25       3.0996  -0.00071367     -0.19865   -0.0020489      0.45411  -2.6972e-05     0.059005       2.9456       55.234       35.821      0.95388      0.27294            0            0            0            0            0            0            0            0            0          3.6        0.445    0.0023777  
          0            0          9.5      0.59934     0.032526     0.018722     0.013804  -2.6146e-12    -0.039097    0.0084036      -0.0475  -1.7079e-05  -4.9207e-05  -5.0322e-05   1.1147e-06       18.426       14.265       1.2917       26.385       1.4319      0.61617   -1.151e-10       26.385   5.4786e-10  -3.2739e-09       26.385            0            0            0       24.963       1.5697           25       3.1064   -0.0007519     -0.19793   -0.0021663      0.45411  -2.8497e-05     0.059005       2.9372       55.435       35.798      0.95252      0.27217            0            0            0            0            0            0            0            0            0          3.6        0.445    0.0023777  
          0            0           10      0.59754     0.032505     0.018763     0.013742  -2.7467e-12    -0.038949    0.0084093    -0.047358  -1.7943e-05   -5.189e-05  -5.3061e-05    1.171e-06       18.383        14.21       1.2936       26.306        1.431      0.61432  -1.2092e-10       26.306   6.0644e-10  -3.4393e-09       26.306            0            0            0       24.963       1.5757           25       3.1137  -0.00078989     -0.19719   -0.0022844      0.45411  -3.0027e-05     0.059005       2.9284       55.648       35.775      0.95109      0.27135            0            0            0            0            0            0            0            0            0          3.6        0.445    0.0023777  
          0            0         10.5      0.59566     0.032483     0.018806     0.013678   -2.878e-12    -0.038793    0.0084152    -0.047209    -1.88e-05  -5.4585e-05  -5.5812e-05    1.227e-06       18.338       14.153       1.2957       26.223         1.43      0.61239   -1.267e-10       26.223    6.679e-10  -3.6037e-09       26.223            0            0            0       24.963       1.5821           25       3.1214  -0.00082765      -0.1964    -0.002403      0.45411  -3.1562e-05     0.059005       2.9192       55.875        35.75      0.94959       0.2705            0            0            0            0            0            0            0            0            0          3.6        0.445    0.0023777  
          0            0           11      0.59369      0.03246     0.018851      0.01361  -3.0084e-12    -0.038631    0.0084215    -0.047053  -1.9652e-05  -5.7297e-05   -5.858e-05   1.2826e-06        18.29       14.092       1.2978       26.136        1.429      0.61036  -1.3244e-10       26.136   7.3223e-10   -3.767e-09       26.136            0            0            0       24.963       1.5889           25       3.1296  -0.00086515     -0.19558   -0.0025224      0.45411  -3.3101e-05     0.059005       2.9096       56.114       35.726      0.94802       0.2696            0            0            0            0            0            0            0            0            0          3.6        0.445    0.0023777  
          0            0         11.5      0.59163     0.032437     0.018898     0.013539  -3.1379e-12    -0.038461     0.008428    -0.046889  -2.0498e-05  -6.0025e-05  -6.1363e-05   1.3378e-06       18.239       14.029       1.3001       26.046        1.428      0.60825  -1.3814e-10       26.046   7.9939e-10  -3.9291e-09       26.046            0            0            0       24.963       1.5961           25       3.1382  -0.00090239     -0.19472   -0.0026425      0.45411  -3.4646e-05     0.059005       2.8995       56.366         35.7      0.94638      0.26867            0            0            0            0            0            0            0            0            0          3.6        0.445    0.0023777  
          0            0           12      0.58949     0.032414     0.018948     0.013466  -3.2665e-12    -0.038285    0.0084349     -0.04672  -2.1338e-05  -6.2768e-05  -6.4161e-05   1.3926e-06       18.186       13.963       1.3025       25.951        1.427      0.60604   -1.438e-10       25.951   8.6937e-10  -4.0901e-09       25.951            0            0            0       24.962       1.6036           25       3.1473  -0.00093935     -0.19382   -0.0027633      0.45411  -3.6197e-05     0.059005        2.889       56.633       35.674      0.94466       0.2677            0            0            0            0            0            0            0            0            0          3.6        0.445    0.0023777  
          0            0         12.5      0.58726      0.03239     0.019001     0.013389   -3.394e-12    -0.038101    0.0084423    -0.046543  -2.2171e-05  -6.5532e-05  -6.6979e-05    1.447e-06       18.131       13.894       1.3049       25.853       1.4259      0.60375  -1.4942e-10       25.853   9.4215e-10  -4.2498e-09       25.853            0            0            0       24.962       1.6116           25       3.1569  -0.00097603     -0.19289   -0.0028849      0.45411  -3.7753e-05     0.059005       2.8781       56.914       35.648      0.94287      0.26668            0            0            0            0            0            0            0            0            0          3.6        0.445    0.0023777  
          0            0           13      0.58494     0.032366     0.019056      0.01331  -3.5205e-12    -0.037909    0.0084501    -0.046359  -2.2997e-05  -6.8315e-05  -6.9816e-05   1.5009e-06       18.073       13.822       1.3075       25.751       1.4249      0.60137  -1.5499e-10       25.751   1.0177e-09  -4.4082e-09       25.751            0            0            0       24.962       1.6199           25        3.167   -0.0010124     -0.19192   -0.0030075      0.45411  -3.9315e-05     0.059005       2.8667        57.21       35.621      0.94101      0.26563            0            0            0            0            0            0            0            0            0          3.6        0.445    0.0023777  
          0            0         13.5      0.58255     0.032342     0.019113     0.013228   -3.646e-12    -0.037711    0.0084583    -0.046169  -2.3817e-05  -7.1118e-05  -7.2673e-05   1.5544e-06       18.012       13.748       1.3102       25.646       1.4238       0.5989  -1.6051e-10       25.646    1.096e-09  -4.5653e-09       25.646            0            0            0       24.962       1.6287           25       3.1777   -0.0010485     -0.19092   -0.0031309      0.45411  -4.0884e-05     0.059005        2.855       57.521       35.595      0.93908      0.26454            0            0            0            0            0            0            0            0            0          3.6        0.445    0.0023777  
          0            0           14      0.58006     0.032318     0.019174     0.013144  -3.7703e-12    -0.037506    0.0084669    -0.045972  -2.4629e-05  -7.3945e-05  -7.5552e-05   1.6074e-06       17.949        13.67        1.313       25.536       1.4227      0.59635  -1.6598e-10       25.536   1.1771e-09  -4.7209e-09       25.536            0            0            0       24.961        1.638           25       3.1889   -0.0010842     -0.18988   -0.0032553      0.45411  -4.2459e-05     0.059005       2.8428       57.847       35.568      0.93708      0.26341            0            0            0            0            0            0            0            0            0          3.6        0.445    0.0023777  
          0            0         14.5       0.5775     0.032294     0.019237     0.013057  -3.8935e-12    -0.037293    0.0084761    -0.045769  -2.5433e-05  -7.6793e-05  -7.8453e-05   1.6599e-06       17.883        13.59       1.3159       25.423       1.4217      0.59371   -1.714e-10       25.423   1.2608e-09  -4.8752e-09       25.423            0            0            0       24.961       1.6477           25       3.2007   -0.0011197      -0.1888   -0.0033807      0.45411  -4.4041e-05     0.059005       2.8302        58.19       35.542        0.935      0.26225            0            0            0            0            0            0            0            0            0          3.6        0.445    0.0023777  
          0            0           15      0.57485     0.032273     0.019306     0.012967  -4.0155e-12    -0.037073    0.0084867    -0.045559   -2.623e-05  -7.9676e-05  -8.1388e-05   1.7119e-06       17.812       13.505       1.3189       25.307       1.4208      0.59099  -1.7677e-10       25.307   1.3472e-09  -5.0279e-09       25.307            0            0            0       24.961        1.658           25       3.2133   -0.0011547     -0.18769   -0.0035076      0.45411   -4.563e-05     0.059005       2.8172       58.554       35.519      0.93286      0.26105            0            0            0            0            0            0            0            0            0          3.6        0.445    0.0023777  
