MILVUS_wing
T5-a0.0°-25.0m/s-VLM2-x0.02875m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0            4      0.61312     0.032695     0.018411     0.014284  -1.1177e-12     -0.13528  -4.5541e-05     -0.13523  -7.3011e-06   4.3053e-07  -4.5977e-08   4.7651e-07       18.753       14.684       1.2771       26.992       1.4393      0.63037  -4.9204e-11       26.992   9.7863e-11  -1.3995e-09       26.992            0            0            0       24.965       1.4489           25       3.0524  -0.00032142     -0.68486   1.8954e-05     0.054114  -1.1908e-05    0.0040055       3.0048       46.194       35.984      0.96337     0.033179            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0            0          4.5      0.61233     0.032685     0.018429     0.014256  -1.2563e-12      -0.1351  -4.5556e-05     -0.13505  -8.2066e-06   4.8388e-07  -5.1727e-08   5.3561e-07       18.734        14.66       1.2779       26.957       1.4389      0.62955  -5.5307e-11       26.957    1.238e-10  -1.5731e-09       26.957            0            0            0       24.964       1.4513           25       3.0555  -0.00036128     -0.68397   2.1302e-05     0.054114  -1.3402e-05    0.0040055       3.0009        46.27       35.973      0.96275     0.033136            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0            0            5      0.61144     0.032674     0.018449     0.014225  -1.3945e-12      -0.1349  -4.5572e-05     -0.13486  -9.1097e-06   5.3707e-07  -5.7477e-08   5.9455e-07       18.713       14.633       1.2789       26.918       1.4384      0.62864  -6.1393e-11       26.918   1.5277e-10  -1.7462e-09       26.918            0            0            0       24.964       1.4539           25       3.0589  -0.00040104     -0.68298   2.3644e-05     0.054114  -1.4899e-05    0.0040055       2.9965       46.355       35.961      0.96205     0.033088            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0            0          5.5      0.61046     0.032662     0.018471     0.014191  -1.5324e-12     -0.13469   -4.559e-05     -0.13464   -1.001e-05   5.9008e-07  -6.3228e-08    6.533e-07        18.69       14.603       1.2799       26.875       1.4379      0.62763   -6.746e-11       26.875   1.8475e-10  -1.9187e-09       26.875            0            0            0       24.964       1.4569           25       3.0626  -0.00044067     -0.68189   2.5977e-05     0.054114  -1.6397e-05    0.0040055       2.9917        46.45       35.947      0.96128     0.033035            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0            0            6      0.60939     0.032649     0.018495     0.014154  -1.6697e-12     -0.13445   -4.561e-05     -0.13441  -1.0907e-05   6.4288e-07   -6.898e-08   7.1186e-07       18.665        14.57        1.281       26.827       1.4373      0.62653  -7.3506e-11       26.827   2.1974e-10  -2.0907e-09       26.827            0            0            0       24.964       1.4602           25       3.0668  -0.00048017     -0.68069   2.8302e-05     0.054114  -1.7898e-05    0.0040055       2.9865       46.554       35.933      0.96044     0.032977            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0            0          6.5      0.60823     0.032635     0.018522     0.014113  -1.8065e-12      -0.1342  -4.5631e-05     -0.13415  -1.1801e-05   6.9547e-07  -7.4734e-08    7.702e-07       18.637       14.535       1.2822       26.776       1.4367      0.62533   -7.953e-11       26.776   2.5773e-10  -2.2621e-09       26.776            0            0            0       24.964       1.4637           25       3.0713  -0.00051952     -0.67939   3.0617e-05     0.054114  -1.9402e-05    0.0040055       2.9808       46.667       35.917      0.95952     0.032914            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0            0            7      0.60697     0.032619      0.01855      0.01407  -1.9428e-12     -0.13392  -4.5653e-05     -0.13387  -1.2691e-05   7.4782e-07  -8.0487e-08   8.2831e-07       18.608       14.497       1.2836       26.721        1.436      0.62404   -8.553e-11       26.721    2.987e-10  -2.4327e-09       26.721            0            0            0       24.964       1.4676           25       3.0762  -0.00055872     -0.67799   3.2922e-05     0.054114  -2.0909e-05    0.0040055       2.9746        46.79         35.9      0.95853     0.032846            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0            0          7.5      0.60562     0.032603      0.01858     0.014023  -2.0785e-12     -0.13362  -4.5677e-05     -0.13358  -1.3578e-05   7.9992e-07  -8.6243e-08   8.8616e-07       18.576       14.456        1.285       26.662       1.4353      0.62266  -9.1504e-11       26.662   3.4264e-10  -2.6026e-09       26.662            0            0            0       24.964       1.4717           25       3.0815  -0.00059774     -0.67648   3.5215e-05     0.054114  -2.2419e-05    0.0040055        2.968       46.922       35.882      0.95746     0.032773            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0            0            8      0.60419     0.032585     0.018613     0.013973  -2.2136e-12      -0.1333  -4.5703e-05     -0.13326   -1.446e-05   8.5175e-07  -9.1999e-08   9.4375e-07       18.542       14.412       1.2865       26.598       1.4345      0.62118   -9.745e-11       26.598   3.8955e-10  -2.7718e-09       26.598            0            0            0       24.964       1.4762           25       3.0871  -0.00063658     -0.67488   3.7497e-05     0.054114  -2.3933e-05    0.0040055        2.961       47.064       35.863      0.95633     0.032695            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0            0          8.5      0.60266     0.032567     0.018647      0.01392   -2.348e-12     -0.13297   -4.573e-05     -0.13292  -1.5338e-05   9.0329e-07  -9.7757e-08    1.001e-06       18.505       14.366       1.2881       26.531       1.4337      0.61961  -1.0337e-10       26.531   4.3939e-10    -2.94e-09       26.531            0            0            0       24.964        1.481           25       3.0932  -0.00067523     -0.67318   3.9766e-05     0.054114   -2.545e-05    0.0040055       2.9535       47.217       35.843      0.95512     0.032613            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0            0            9      0.60104     0.032547     0.018684     0.013864  -2.4817e-12     -0.13261  -4.5757e-05     -0.13257  -1.6211e-05   9.5452e-07  -1.0352e-07    1.058e-06       18.467       14.317       1.2899        26.46       1.4329      0.61795  -1.0925e-10        26.46   4.9217e-10  -3.1074e-09        26.46            0            0            0       24.963        1.486           25       3.0996  -0.00071367     -0.67137   4.2021e-05     0.054114  -2.6972e-05    0.0040055       2.9456       47.379       35.821      0.95384     0.032525            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0            0          9.5      0.59934     0.032527     0.018722     0.013805  -2.6146e-12     -0.13224  -4.5787e-05     -0.13219  -1.7079e-05   1.0054e-06  -1.0928e-07   1.1147e-06       18.426       14.265       1.2917       26.385       1.4319      0.61619   -1.151e-10       26.385   5.4786e-10  -3.2739e-09       26.385            0            0            0       24.963       1.4915           25       3.1065   -0.0007519     -0.66947   4.4262e-05     0.054114  -2.8497e-05    0.0040055       2.9372       47.551       35.799      0.95248     0.032433            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0            0           10      0.59754     0.032506     0.018763     0.013743  -2.7467e-12     -0.13184  -4.5817e-05     -0.13179  -1.7943e-05   1.0544e-06  -1.1663e-07    1.171e-06       18.383        14.21       1.2936       26.306        1.431      0.61435  -1.2092e-10       26.306   6.0644e-10  -3.4393e-09       26.306            0            0            0       24.963       1.4972           25       3.1138  -0.00078989     -0.66746   4.6419e-05     0.054114  -3.0027e-05    0.0040055       2.9284       47.734       35.775      0.95105     0.032336            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0            0         10.5      0.59566     0.032484     0.018806     0.013678   -2.878e-12     -0.13142   -4.585e-05     -0.13138    -1.88e-05   1.1045e-06  -1.2246e-07    1.227e-06       18.337       14.152       1.2957       26.223         1.43      0.61241   -1.267e-10       26.223    6.679e-10  -3.6037e-09       26.223            0            0            0       24.963       1.5033           25       3.1215  -0.00082765     -0.66536   4.8626e-05     0.054114  -3.1562e-05    0.0040055       2.9192       47.928       35.751      0.94955     0.032234            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0            0           11      0.59369     0.032461     0.018851      0.01361  -3.0084e-12     -0.13099  -4.5884e-05     -0.13094  -1.9652e-05   1.1526e-06  -1.2996e-07   1.2826e-06       18.289       14.092       1.2978       26.136        1.429      0.61039  -1.3244e-10       26.136   7.3223e-10   -3.767e-09       26.136            0            0            0       24.963       1.5097           25       3.1296  -0.00086515     -0.66316   5.0743e-05     0.054114  -3.3101e-05    0.0040055       2.9096       48.134       35.726      0.94798     0.032127            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0            0         11.5      0.59163     0.032438     0.018898      0.01354  -3.1379e-12     -0.13054  -4.5919e-05     -0.13049  -2.0498e-05   1.2003e-06  -1.3751e-07   1.3378e-06       18.239       14.029       1.3001       26.046        1.428      0.60827  -1.3814e-10       26.046   7.9939e-10  -3.9291e-09       26.046            0            0            0       24.963       1.5165           25       3.1382  -0.00090239     -0.66086   5.2841e-05     0.054114  -3.4646e-05    0.0040055       2.8995        48.35       35.701      0.94634     0.032016            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0            0           12      0.58949     0.032414     0.018948     0.013466  -3.2664e-12     -0.13006  -4.5957e-05     -0.13002  -2.1338e-05   1.2491e-06  -1.4349e-07   1.3926e-06       18.186       13.963       1.3025       25.951        1.427      0.60607   -1.438e-10       25.951   8.6937e-10  -4.0901e-09       25.951            0            0            0       24.962       1.5237           25       3.1473  -0.00093935     -0.65847   5.4991e-05     0.054114  -3.6197e-05    0.0040055        2.889       48.579       35.675      0.94462       0.0319            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0            0         12.5      0.58726      0.03239     0.019001      0.01339   -3.394e-12     -0.12957  -4.5997e-05     -0.12953  -2.2171e-05   1.2958e-06  -1.5115e-07    1.447e-06       18.131       13.894       1.3049       25.853       1.4259      0.60377  -1.4941e-10       25.853   9.4215e-10  -4.2498e-09       25.853            0            0            0       24.962       1.5312           25        3.157  -0.00097603     -0.65598   5.7048e-05     0.054114  -3.7753e-05    0.0040055       2.8781        48.82       35.648      0.94283     0.031779            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0            0           13      0.58494     0.032366     0.019056     0.013311  -3.5205e-12     -0.12906   -4.604e-05     -0.12901  -2.2997e-05   1.3421e-06  -1.5882e-07   1.5009e-06       18.073       13.822       1.3075       25.751       1.4249      0.60139  -1.5498e-10       25.751   1.0177e-09  -4.4082e-09       25.751            0            0            0       24.962       1.5392           25       3.1671   -0.0010124     -0.65339   5.9084e-05     0.054114  -3.9315e-05    0.0040055       2.8667       49.074       35.622      0.94097     0.031654            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0            0         13.5      0.58255     0.032342     0.019113     0.013229  -3.6459e-12     -0.12853  -4.6084e-05     -0.12849  -2.3817e-05   1.3879e-06   -1.665e-07   1.5544e-06       18.012       13.748       1.3102       25.646       1.4238      0.59893  -1.6051e-10       25.646    1.096e-09  -4.5653e-09       25.646            0            0            0       24.962       1.5476           25       3.1777   -0.0010485     -0.65072     6.11e-05     0.054114  -4.0884e-05    0.0040055        2.855        49.34       35.595      0.93904     0.031524            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0            0           14      0.58006     0.032318     0.019174     0.013144  -3.7703e-12     -0.12798  -4.6131e-05     -0.12794  -2.4629e-05   1.4318e-06  -1.7558e-07   1.6074e-06       17.949        13.67        1.313       25.536       1.4228      0.59638  -1.6598e-10       25.536   1.1771e-09  -4.7209e-09       25.536            0            0            0       24.961       1.5564           25       3.1889   -0.0010842     -0.64794   6.3034e-05     0.054114  -4.2459e-05    0.0040055       2.8428        49.62       35.569      0.93704      0.03139            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0            0         14.5       0.5775     0.032294     0.019237     0.013057  -3.8934e-12     -0.12742  -4.6181e-05     -0.12737  -2.5433e-05   1.4768e-06  -1.8317e-07   1.6599e-06       17.882       13.589       1.3159       25.423       1.4217      0.59374   -1.714e-10       25.423   1.2608e-09  -4.8752e-09       25.423            0            0            0       24.961       1.5656           25       3.2007   -0.0011197     -0.64508   6.5012e-05     0.054114  -4.4041e-05    0.0040055       2.8302       49.915       35.543      0.93497     0.031251            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0            0           15      0.57485     0.032273     0.019306     0.012968  -4.0154e-12     -0.12683  -4.6239e-05     -0.12679   -2.623e-05   1.5195e-06  -1.9242e-07   1.7119e-06       17.812       13.505       1.3189       25.307       1.4208      0.59102  -1.7677e-10       25.307   1.3472e-09  -5.0279e-09       25.307            0            0            0       24.961       1.5754           25       3.2133   -0.0011547     -0.64212   6.6894e-05     0.054114   -4.563e-05    0.0040055       2.8172       50.227       35.519      0.93282     0.031108            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
