MILVUS24_US_wing_extended2
T5-a0.0°-25.0m/s-TriUniform-ThickSurf-x0.029m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0          9.5      0.75409     0.027185     0.014777     0.012408            0     -0.15428  -4.0625e-05     -0.15424    0.0041125   -0.0006719  -2.0984e-06   -0.0006698       27.739       24.088       1.1516       62.961       2.2555       1.0359            0       62.961       1.1184   0.00028372       62.688            0            0            0       24.984      0.89998           25       2.0646      0.68672      -1.6101      -0.1122     0.054288      0.01091    0.0090265       14.612       56.505       56.744      0.91178     0.040938            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0            0           10      0.75184     0.027187     0.014816     0.012371            0     -0.15382   -4.067e-05     -0.15378    0.0043203  -0.00070586   -2.211e-06  -0.00070365       27.655       23.979       1.1533       62.772       2.2542       1.0328            0       62.772       1.1151   0.00029806         62.5            0            0            0       24.984      0.90409           25       2.0709      0.72142      -1.6053     -0.11787     0.054288     0.011496    0.0090271       14.568       56.762       56.747      0.90905     0.040815            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0            0         10.5      0.74947     0.027188     0.014857     0.012332            0     -0.15333  -4.0718e-05     -0.15329    0.0045268  -0.00073961  -2.3305e-06  -0.00073728       27.566       23.864       1.1551       62.575       2.2528       1.0296            0       62.575       1.1116    0.0003123       62.303            0            0            0       24.984      0.90844           25       2.0776      0.75591      -1.6003      -0.1235     0.054287     0.012084    0.0090277       14.522       57.035        56.75      0.90618     0.040687            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0            0           11      0.74699      0.02719     0.014899     0.012291            0     -0.15283  -4.0767e-05     -0.15279    0.0047319  -0.00077314  -2.4512e-06  -0.00077069       27.473       23.744        1.157       62.368       2.2513       1.0262            0       62.368       1.1079   0.00032645       62.097            0            0            0       24.983      0.91303           25       2.0846      0.79016       -1.595      -0.1291     0.054287     0.012673    0.0090284       14.474       57.323       56.754      0.90319     0.040552            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0            0         11.5       0.7444     0.027192     0.014944     0.012248            0      -0.1523  -4.0818e-05     -0.15226    0.0049356  -0.00080644  -2.5733e-06  -0.00080386       27.376       23.619        1.159       62.151       2.2498       1.0226            0       62.151        1.104    0.0003405       61.882            0            0            0       24.983      0.91786           25        2.092      0.82417      -1.5894     -0.13466     0.054287     0.013264    0.0090291       14.424       57.627       56.758      0.90006     0.040411            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0            0           12       0.7417     0.027194      0.01499     0.012204            0     -0.15174   -4.087e-05      -0.1517    0.0051378  -0.00083949  -2.6967e-06  -0.00083679       27.274       23.489       1.1611       61.926       2.2482       1.0189            0       61.926          1.1   0.00035445       61.658            0            0            0       24.983      0.92293           25       2.0998      0.85793      -1.5837     -0.14018     0.054287     0.013858    0.0090299       14.372       57.946       56.762      0.89679     0.040265            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0            0         12.5       0.7389     0.027196     0.015039     0.012158            0     -0.15117  -4.0925e-05     -0.15113    0.0053384  -0.00087226  -2.7916e-06  -0.00086946       27.169       23.354       1.1633       61.692       2.2466       1.0151            0       61.692       1.0958   0.00036829       61.425            0            0            0       24.983      0.92828           25       2.1079      0.89143      -1.5777     -0.14565     0.054287     0.014454    0.0090307       14.318       58.281       56.767       0.8934     0.040113            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0            0           13      0.73598       0.0272      0.01509      0.01211            0     -0.15058  -4.0984e-05     -0.15053    0.0055374  -0.00090479  -2.9172e-06  -0.00090187       27.058       23.213       1.1656       61.449       2.2451       1.0111            0       61.449       1.0915   0.00038202       61.182            0            0            0       24.983      0.93391           25       2.1165      0.92466      -1.5715     -0.15109     0.054287     0.015052    0.0090315       14.261       58.635       56.774      0.88988     0.039955            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0            0         13.5      0.73296     0.027203     0.015143      0.01206            0     -0.14996  -4.1044e-05     -0.14992    0.0057347  -0.00093705  -3.0443e-06  -0.00093401       26.944       23.068        1.168       61.197       2.2434       1.0069            0       61.197        1.087   0.00039563       60.931            0            0            0       24.983      0.93981           25       2.1255       0.9576       -1.565     -0.15647     0.054287     0.015652    0.0090323       14.203       59.005       56.781      0.88623     0.039791            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0            0           14      0.72984     0.027207     0.015198     0.012009            0     -0.14932  -4.1105e-05     -0.14928    0.0059302  -0.00096903  -3.1731e-06  -0.00096586       26.826       22.917       1.1705       60.936       2.2418       1.0026            0       60.936       1.0824   0.00040912       60.672            0            0            0       24.983      0.94597           25       2.1349      0.99026      -1.5584     -0.16181     0.054287     0.016255    0.0090332       14.143       59.392       56.789      0.88246     0.039621            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0            0         14.5      0.72661     0.027211     0.015255     0.011956            0     -0.14866  -4.1168e-05     -0.14862     0.006124   -0.0010007  -3.3036e-06  -0.00099741       26.703       22.762       1.1731       60.666       2.2401      0.99819            0       60.666       1.0775   0.00042249       60.403            0            0            0       24.982      0.95242           25       2.1447       1.0226      -1.5515      -0.1671     0.054287     0.016861    0.0090342        14.08       59.797       56.797      0.87855     0.039446            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0            0           15      0.72328     0.027215     0.015314     0.011901            0     -0.14798  -4.1231e-05     -0.14794    0.0063159   -0.0010321  -3.4239e-06   -0.0010287       26.577       22.603       1.1758       60.388       2.2384      0.99362            0       60.388       1.0726   0.00043573       60.126            0            0            0       24.982      0.95915           25       2.1548       1.0547      -1.5444     -0.17234     0.054287      0.01747    0.0090352       14.016       60.219       56.805      0.87452     0.039265            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
