MILVUS24_US_wing_extended
T5-a0.0°-25.0m/s-TriUniform-ThickSurf-x0.029m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0            6      0.70651      0.03282     0.016469     0.016352  -1.6483e-21     -0.13845  -4.5653e-05      -0.1384    0.0037577  -0.00064116    8.671e-07  -0.00064203       21.527       18.094       1.1897       31.205       1.4456      0.72221  -7.2801e-20       31.205      0.78488   0.00013852       31.036            0            0            0       24.973       1.6473           25       2.6597      0.19087      -0.7032    -0.032566     0.051274    0.0061194    0.0085554       4.0467       103.43        36.24      0.97169     0.036226            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0            0          6.5      0.70516     0.032818     0.016498      0.01632  -1.6256e-21     -0.13818  -4.5689e-05     -0.13814    0.0040657  -0.00069371   9.3928e-07  -0.00069465       21.487       18.044       1.1908       31.145       1.4448      0.72083  -7.1798e-20       31.145      0.78337   0.00014987       30.977            0            0            0       24.973       1.6519           25       2.6646      0.20651     -0.70186    -0.035235     0.051274    0.0066336     0.008556        4.039       103.71       36.237      0.96984     0.036156            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0            0            7      0.70371     0.032816     0.016529     0.016287  -1.6027e-21      -0.1379   -4.573e-05     -0.13785    0.0043724  -0.00074604   1.0117e-06  -0.00074705       21.444       17.989       1.1921       31.081        1.444      0.71934  -7.0786e-20       31.081      0.78175   0.00016117       30.913            0            0            0       24.973        1.657           25       2.6699      0.22209     -0.70041    -0.037893     0.051274    0.0071488    0.0085566       4.0307       104.03       36.235      0.96783     0.036082            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0            0          7.5      0.70215     0.032815     0.016564     0.016251  -1.5796e-21     -0.13759  -4.5776e-05     -0.13754    0.0046778  -0.00079815    1.084e-06  -0.00079923       21.397        17.93       1.1934       31.012       1.4432      0.71774  -6.9765e-20       31.012      0.78001   0.00017243       30.844            0            0            0       24.973       1.6624           25       2.6758       0.2376     -0.69886     -0.04054     0.051274    0.0076651    0.0085574       4.0218       104.37       36.234      0.96569     0.036002            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0            0            8      0.70048     0.032815     0.016603     0.016212  -1.5563e-21     -0.13726   -4.583e-05     -0.13722    0.0049818  -0.00085001   1.1562e-06  -0.00085116       21.346       17.865       1.1948       30.938       1.4424      0.71604  -6.8736e-20       30.938      0.77815   0.00018364       30.771            0            0            0       24.973       1.6684           25       2.6822      0.25304      -0.6972    -0.043174     0.051274    0.0081826    0.0085581       4.0123       104.75       36.234       0.9634     0.035916            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0            0          8.5      0.69871     0.032817     0.016646     0.016171  -1.5328e-21     -0.13692  -4.5889e-05     -0.13687    0.0052843  -0.00090161   1.2283e-06  -0.00090284       21.291       17.797       1.1963        30.86       1.4416      0.71423  -6.7699e-20        30.86      0.77618   0.00019478       30.693            0            0            0       24.972       1.6748           25       2.6891       0.2684     -0.69544    -0.045795     0.051274    0.0087014     0.008559       4.0022       105.15       36.236      0.96096     0.035825            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0            0            9      0.69684     0.032819     0.016691     0.016128  -1.5091e-21     -0.13655  -4.5952e-05      -0.1365    0.0055851  -0.00095294   1.3004e-06  -0.00095424       21.233       17.724       1.1979       30.777       1.4408      0.71232  -6.6654e-20       30.777      0.77409   0.00020587       30.611            0            0            0       24.972       1.6817           25       2.6965      0.28368     -0.69357    -0.048402     0.051274    0.0092216    0.0085598       3.9915       105.58       36.238      0.95838     0.035729            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0            0          9.5      0.69486     0.032821      0.01674     0.016082  -1.4853e-21     -0.13616   -4.602e-05     -0.13612    0.0058842    -0.001004   1.3723e-06   -0.0010053       21.171       17.648       1.1996        30.69       1.4399      0.71029  -6.5601e-20        30.69      0.77188    0.0002169       30.524            0            0            0       24.972        1.689           25       2.7043      0.29888      -0.6916    -0.050994     0.051274    0.0097431    0.0085608       3.9802       106.04       36.241      0.95566     0.035628            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0            0           10      0.69278     0.032825     0.016791     0.016034  -1.4613e-21     -0.13575  -4.6092e-05     -0.13571    0.0061816   -0.0010547   1.4442e-06   -0.0010562       21.105       17.567       1.2014       30.598        1.439      0.70817  -6.4541e-20       30.598      0.76956   0.00022786       30.433            0            0            0       24.972       1.6968           25       2.7127      0.31398     -0.68953    -0.053571     0.051274     0.010266    0.0085617       3.9683       106.53       36.244       0.9528     0.035521            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0            0         10.5      0.69059     0.032828     0.016845     0.015983  -1.4371e-21     -0.13533  -4.6168e-05     -0.13528    0.0064771   -0.0011051   1.5247e-06   -0.0011066       21.036       17.482       1.2033       30.502       1.4381      0.70594  -6.3475e-20       30.502      0.76712   0.00023875       30.337            0            0            0       24.972        1.705           25       2.7216      0.32899     -0.68736    -0.056131     0.051273     0.010791    0.0085628       3.9559       107.05       36.249       0.9498     0.035409            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0            0           11      0.68831     0.032832     0.016902      0.01593  -1.4128e-21     -0.13488  -4.6246e-05     -0.13483    0.0067705   -0.0011552   1.5968e-06   -0.0011568       20.964       17.393       1.2053       30.401       1.4372       0.7036  -6.2402e-20       30.401      0.76458   0.00024957       30.236            0            0            0       24.972       1.7137           25       2.7309      0.34389     -0.68508    -0.058675     0.051273     0.011317    0.0085639       3.9428       107.59       36.253      0.94666     0.035292            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0            0         11.5      0.68592     0.032836     0.016961     0.015875  -1.3884e-21     -0.13441  -4.6328e-05     -0.13436     0.007062   -0.0012049   1.6869e-06   -0.0012066       20.889       17.301       1.2074       30.295       1.4362      0.70116  -6.1322e-20       30.295      0.76191   0.00026031       30.132            0            0            0       24.971       1.7229           25       2.7408       0.3587     -0.68271    -0.061199     0.051273     0.011846     0.008565       3.9292       108.17       36.257      0.94338      0.03517            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0            0           12      0.68344     0.032841     0.017023     0.015818  -1.3638e-21     -0.13392  -4.6413e-05     -0.13388    0.0073513   -0.0012542   1.7597e-06    -0.001256       20.811       17.204       1.2096       30.186       1.4352      0.69862  -6.0237e-20       30.186      0.75914   0.00027098       30.022            0            0            0       24.971       1.7325           25       2.7511      0.37339     -0.68023    -0.063706     0.051273     0.012376    0.0085662        3.915       108.77       36.262      0.93996     0.035042            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0            0         12.5      0.68085     0.032845     0.017087     0.015758  -1.3391e-21     -0.13342    -4.65e-05     -0.13337    0.0076383   -0.0013032   1.8323e-06    -0.001305       20.729       17.104       1.2119       30.071       1.4342      0.69598  -5.9146e-20       30.071      0.75626   0.00028156       29.909            0            0            0       24.971       1.7426           25       2.7619      0.38797     -0.67766    -0.066193     0.051273     0.012908    0.0085675       3.9002       109.41       36.267       0.9364     0.034909            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0            0           13      0.67817      0.03285     0.017154     0.015696  -1.3143e-21     -0.13289   -4.659e-05     -0.13284     0.007923   -0.0013518   1.9049e-06   -0.0013537       20.644       17.001       1.2143       29.953       1.4331      0.69324   -5.805e-20       29.953      0.75327   0.00029205       29.791            0            0            0       24.971       1.7532           25       2.7732      0.40243     -0.67499     -0.06866     0.051273     0.013442    0.0085688       3.8849       110.08       36.272      0.93271     0.034772            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0            0         13.5      0.67539     0.032855     0.017224     0.015631  -1.2894e-21     -0.13235  -4.6682e-05      -0.1323    0.0082053   -0.0013999   1.9783e-06   -0.0014019       20.557       16.894       1.2168        29.83        1.432      0.69039  -5.6949e-20        29.83      0.75016   0.00030246       29.669            0            0            0        24.97       1.7643           25        2.785      0.41677     -0.67222    -0.071106     0.051273     0.013978    0.0085702        3.869       110.77       36.278      0.92889     0.034629            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0            0           14      0.67251      0.03286     0.017295     0.015565  -1.2644e-21     -0.13178  -4.6777e-05     -0.13174    0.0084851   -0.0014477   2.0508e-06   -0.0014497       20.466       16.783       1.2194       29.703       1.4309      0.68745  -5.5844e-20       29.703      0.74695   0.00031277       29.542            0            0            0        24.97        1.776           25       2.7973      0.43098     -0.66935    -0.073531     0.051273     0.014517    0.0085716       3.8525        111.5       36.283      0.92493     0.034482            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0            0         14.5      0.66954     0.032865     0.017369     0.015496  -1.2392e-21      -0.1312  -4.6873e-05     -0.13115    0.0087623    -0.001495   2.1158e-06   -0.0014971       20.372        16.67       1.2221       29.572       1.4298      0.68441  -5.4734e-20       29.572      0.74363   0.00032299       29.411            0            0            0        24.97       1.7881           25       2.8102      0.44506     -0.66639    -0.075933     0.051273     0.015057    0.0085731       3.8355       112.26       36.289      0.92084     0.034329            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
          0            0           15      0.66647      0.03287     0.017446     0.015425   -1.214e-21      -0.1306   -4.697e-05     -0.13055    0.0090369   -0.0015418   2.1878e-06    -0.001544       20.276       16.552       1.2249       29.436       1.4286      0.68127  -5.3621e-20       29.436      0.74021   0.00033311       29.277            0            0            0        24.97       1.8007           25       2.8236      0.45901     -0.66334    -0.078312     0.051273     0.015601    0.0085747        3.818       113.06       36.295      0.91661     0.034171            0            0            0            0            0            0            0            0            0          6.4        0.029            0  
